lat	lon	stars	diff	miles	high	low	ascent	desct	title	url
33.60881	-85.916221	4.7	blue	10.1	1589	727	1290	-1295	Bomb Dog Loop - Coldwater Mountain	http://www.mtbproject.com//trail/238251/bomb-dog-loop-coldwater-mountain
33.32319	-86.764285	4.5	black	21.1	1255	511	1422	-1422	Oak Mountain State Park - IMBA Epic	http://www.mtbproject.com//trail/99190/oak-mountain-state-park-imba-epic
32.549855	-85.47611	5.0	blueBlack	5.9	633	527	435	-479	Upper Chewacla	http://www.mtbproject.com//trail/7001482/upper-chewacla
32.553368	-85.477852	4.6	blue	12.3	511	444	468	-470	Chewacla State Park	http://www.mtbproject.com//trail/4334999/chewacla-state-park
33.643884	-85.855729	4.7	greenBlue	9.1	1642	898	1003	-1001	The Anniston Trailhead to Rock Slot and Back	http://www.mtbproject.com//trail/4949507/the-anniston-trailhead-to-rock-slot-and-back
33.265185	-87.535327	5.0	blue	7.4	353	264	334	-335	Revenge of the Black Warrior IV Race Loop March 2014	http://www.mtbproject.com//trail/4919125/revenge-of-the-black-warrior-iv-race-loop-march-2014
33.214139	-87.444678	5.0	greenBlue	4.3	287	202	243	-244	Hurricane Creek Park	http://www.mtbproject.com//trail/4374695/hurricane-creek-park
33.248945	-87.072084	4.5	blue	11.0	659	467	654	-660	Tannehill Historic Ironworks State Park	http://www.mtbproject.com//trail/4419834/tannehill-historic-ironworks-state-park
33.306209	-87.676192	4.1	blue	15.3	426	201	1276	-1274	Lake Lurleen State Park	http://www.mtbproject.com//trail/65387/lake-lurleen-state-park
32.354737	-84.938109	4.3	blue	9.1	448	277	658	-658	Fort Benning MTB Trail	http://www.mtbproject.com//trail/7001473/fort-benning-mtb-trail
33.199167	-86.193639	4.2	greenBlue	15.2	732	554	1066	-1042	Sylaward Trail at Lake Howard	http://www.mtbproject.com//trail/714346/sylaward-trail-at-lake-howard
33.608803	-85.916248	3.8	greenBlue	3.2	1022	779	337	-341	Two Bear Loop - Coldwater Mountain	http://www.mtbproject.com//trail/228332/two-bear-loop-coldwater-mountain
33.26529	-87.535165	4.0	blue	5.7	350	265	283	-282	Munny Sokol Park	http://www.mtbproject.com//trail/4669972/munny-sokol-park
32.478633	-85.564055	4.0	blue	16.2	519	284	1100	-1100	Tuskegee National Forrest	http://www.mtbproject.com//trail/4338114/tuskegee-national-forrest
32.916877	-85.165131	3.5	blue	11.1	700	620	584	-583	Lakeside Trails	http://www.mtbproject.com//trail/7001897/lakeside-trails
32.543335	-84.878838	2.5	greenBlue	9.3	463	366	620	-622	Flat Rock Park	http://www.mtbproject.com//trail/7002065/flat-rock-park
33.6328	-85.863104	5.0	greenBlue	1.9	1413	902	0	-511	Hare (2-mile descent to the Anniston Trailhead)	http://www.mtbproject.com//trail/4955478/hare-2-mile-descent-to-the-anniston-trailhead
32.554428	-85.466686	5.0	blueBlack	1.3	623	538	136	-140	Tiger Woods	http://www.mtbproject.com//trail/7001485/tiger-woods
33.632853	-85.863149	5.0	blue	2.5	1638	1422	321	-170	Chilowhee	http://www.mtbproject.com//trail/4955763/chilowhee
32.554375	-85.475616	5.0	blueBlack	2.0	575	517	133	-105	Kick Six	http://www.mtbproject.com//trail/7001483/kick-six
32.553126	-85.477996	5.0	blueBlack	0.5	502	479	27	-28	Dell's Trail	http://www.mtbproject.com//trail/4534103/dells-trail
32.554087	-85.477421	5.0	green	0.8	524	498	38	-36	CAMP's Trail	http://www.mtbproject.com//trail/4534064/camps-trail
33.247435	-87.062346	5.0	blue	1.2	630	553	10	-80	Cannon Ball Loop	http://www.mtbproject.com//trail/4424009/cannon-ball-loop
32.548689	-85.486045	5.0	blueBlack	6.5	494	443	234	-237	For Pete's Sake	http://www.mtbproject.com//trail/4337165/for-petes-sake
32.547803	-85.482039	5.0	greenBlue	1.3	492	442	77	-59	Creek View Trail	http://www.mtbproject.com//trail/4336705/creek-view-trail
32.550665	-85.48114	5.0	greenBlue	1.1	502	460	48	-61	Falls View Trail	http://www.mtbproject.com//trail/4336256/falls-view-trail
33.608803	-85.916248	5.0	green	1.1	1021	977	46	-51	Baby Bear	http://www.mtbproject.com//trail/228711/baby-bear
33.341443	-86.723914	5.0	black	0.7	787	584	52	-252	Lightning	http://www.mtbproject.com//trail/126845/lightning
33.641169	-85.849018	5.0	blue	2.6	1229	1083	189	-188	New Downhill Loop	http://www.mtbproject.com//trail/7005165/new-downhill-loop
										
32.549855	-85.47611	5.0	blueBlack	3.5	633	527	241	-247	Rock Bottom	http://www.mtbproject.com//trail/7003323/rock-bottom
32.549809	-85.476253	5.0	blueBlack	1.1	617	580	61	-88	High Gravity	http://www.mtbproject.com//trail/7003281/high-gravity
32.543509	-84.879107	5.0	blue	0.7	425	387	35	-69	Half Pipe	http://www.mtbproject.com//trail/7002068/half-pipe
32.91558	-85.181453	5.0	blueBlack	1.3	696	656	67	-65	Mayor's Mile	http://www.mtbproject.com//trail/7001912/mayors-mile
32.553414	-85.476173	5.0	green	0.3	548	524	40	-27	Base CAMP Trail	http://www.mtbproject.com//trail/7001658/base-camp-trail
33.200979	-86.185177	5.0	greenBlue	1.2	665	565	156	-147	Lakeview Loop	http://www.mtbproject.com//trail/6403075/lakeview-loop
33.619351	-85.889227	5.0	blue	0.4	1638	1525	113	-42	Rock Slot	http://www.mtbproject.com//trail/4956062/rock-slot
33.26167	-87.526559	5.0	green	0.3	305	293	13	-11	Cemetery Loop	http://www.mtbproject.com//trail/4697098/cemetery-loop
33.26167	-87.52655	5.0	black	0.8	303	247	102	-106	Brutality	http://www.mtbproject.com//trail/4696945/brutality
33.261955	-87.531042	5.0	black	0.3	319	296	27	-23	Death by Concrete	http://www.mtbproject.com//trail/4684358/death-by-concrete
33.262872	-87.53141	5.0	green	0.4	325	319	7	-7	Family Trail	http://www.mtbproject.com//trail/4684289/family-trail
33.269617	-87.532237	5.0	blueBlack	0.3	320	283	35	-39	Antique Creek	http://www.mtbproject.com//trail/4671588/antique-creek
33.266147	-87.533216	5.0	blue	0.4	326	297	27	-29	Upper Psycho	http://www.mtbproject.com//trail/4671253/upper-psycho
33.262887	-87.530458	5.0	blueBlack	0.6	319	251	70	-57	Five Bridges	http://www.mtbproject.com//trail/4671203/five-bridges
33.262136	-87.527458	5.0	blueBlack	0.6	303	250	64	-59	Holly Highway Loop	http://www.mtbproject.com//trail/4671158/holly-highway-loop
33.267904	-87.536324	5.0	blueBlack	0.5	339	297	39	-47	Swingset	http://www.mtbproject.com//trail/4669933/swingset
33.265223	-87.5353	5.0	blue	1.3	350	333	32	-41	Mars	http://www.mtbproject.com//trail/4669883/mars
33.268077	-87.531707	5.0	blue	0.7	301	264	33	-39	Troll Loop	http://www.mtbproject.com//trail/4669697/troll-loop
33.252025	-87.057836	5.0	blue	1.5	659	548	118	-116	IMBA Trail	http://www.mtbproject.com//trail/4422995/imba-trail
33.213869	-87.457101	5.0	greenBlue	1.1	260	202	60	-52	South Loop	http://www.mtbproject.com//trail/4375592/south-loop
33.214019	-87.457012	5.0	green	1.1	279	234	64	-72	North Loop	http://www.mtbproject.com//trail/4375226/north-loop
										
33.619665	-85.900941	5.0	blue	6.4	1590	726	916	-973	Bomb Dog	http://www.mtbproject.com//trail/238790/bomb-dog
33.312343	-87.678851	5.0	blue	0.5	311	260	40	-62	Lightning	http://www.mtbproject.com//trail/146484/lightning
33.299617	-87.690556	5.0	blue	2.7	411	247	272	-282	Five Oaks	http://www.mtbproject.com//trail/146397/five-oaks
33.310488	-87.682147	5.0	blue	1.4	384	304	135	-132	Storm	http://www.mtbproject.com//trail/146350/storm
33.309858	-87.681905	5.0	blue	2.1	386	240	187	-176	Tornado	http://www.mtbproject.com//trail/146274/tornado
33.297087	-87.677404	5.0	blue	1.9	308	227	92	-100	Lakeside Trail	http://www.mtbproject.com//trail/141891/lakeside-trail
33.286582	-87.684833	5.0	blue	8.6	425	203	779	-727	Tashka Trail	http://www.mtbproject.com//trail/141091/tashka-trail
33.310188	-87.67037	5.0	green	3.6	381	277	211	-233	Ridge Trail	http://www.mtbproject.com//trail/140451/ridge-trail
32.36706	-84.932135	4.5	blueBlack	1.7	383	300	201	-188	Stowers Loop Extension	http://www.mtbproject.com//trail/7002315/stowers-loop-extension
33.269632	-87.533988	4.5	blue	0.9	321	280	57	-53	Della Raye Loop	http://www.mtbproject.com//trail/4669834/della-raye-loop
33.26502	-87.53512	4.5	blue	2.3	347	277	152	-150	Main Trail	http://www.mtbproject.com//trail/4669737/main-trail
33.244354	-87.065741	4.5	blue	0.6	558	533	31	-5	Tri-County Marker Trail	http://www.mtbproject.com//trail/4424750/tri-county-marker-trail
33.244369	-87.065679	4.5	blue	3.0	619	480	207	-226	Iron Runner Loop	http://www.mtbproject.com//trail/4424337/iron-runner-loop
33.247322	-87.06673	4.5	blueBlack	3.0	660	512	181	-151	Pig Iron Loop	http://www.mtbproject.com//trail/4423325/pig-iron-loop
33.614317	-85.905064	4.5	greenBlue	2.2	1033	846	191	-187	Papa Bear	http://www.mtbproject.com//trail/254786/papa-bear
33.608788	-85.91005	4.5	green	2.1	1009	784	241	-247	Mama Bear	http://www.mtbproject.com//trail/228476/mama-bear
33.329022	-86.733473	4.5	black	1.7	1154	1034	16	-130	West Ridge	http://www.mtbproject.com//trail/100666/west-ridge
33.333353	-86.722657	4.5	dblack	1.4	1258	1143	133	-124	Boulder Ridge	http://www.mtbproject.com//trail/99909/boulder-ridge
33.643884	-85.855729	4.3	green	2.6	1414	899	523	-8	Tortoise	http://www.mtbproject.com//trail/4955185/tortoise
32.549718	-85.48273	4.3	greenBlue	2.4	512	446	135	-138	CCC trail	http://www.mtbproject.com//trail/4460033/ccc-trail
33.315331	-86.751268	4.3	black	4.2	1029	635	200	-594	Jekyll 'n Hyde	http://www.mtbproject.com//trail/101413/jekyll-n-hyde
33.717799	-85.702575	4.0	blue	5.1	1045	740	560	-505	Iron Legs	http://www.mtbproject.com//trail/7001038/iron-legs
33.262421	-87.5307	4.0	blue	0.4	317	285	15	-41	Lower Psycho	http://www.mtbproject.com//trail/4684196/lower-psycho
33.248915	-87.07203	4.0	black	1.5	568	447	177	-152	Furnace Quarry Trail	http://www.mtbproject.com//trail/4556935/furnace-quarry-trail
32.477694	-85.618376	4.0	blue	3.8	489	282	255	-281	Pleasant Hill Trail	http://www.mtbproject.com//trail/4339543/pleasant-hill-trail
32.478603	-85.618412	4.0	blue	4.2	518	302	389	-173	Bartram Trail	http://www.mtbproject.com//trail/4338983/bartram-trail
33.320818	-86.764689	4.0	blue	2.1	633	552	114	-109	Rattlesnake Ridge	http://www.mtbproject.com//trail/110318/rattlesnake-ridge
32.539405	-84.884937	4.0	blue	1.0	415	370	54	-76	Outer Zen Loop	http://www.mtbproject.com//trail/7002151/outer-zen-loop
32.538746	-84.884335	4.0	greenBlue	0.6	420	400	29	-31	Inner Zen Loop	http://www.mtbproject.com//trail/7002149/inner-zen-loop
32.543236	-84.885333	4.0	blueBlack	0.4	434	406	18	-28	The Rock Face	http://www.mtbproject.com//trail/7002074/the-rock-face
32.542934	-84.882745	4.0	black	0.2	399	379	20	-8	The Rock Garden	http://www.mtbproject.com//trail/7002069/the-rock-garden
32.913944	-85.186142	4.0	blueBlack	2.2	690	624	111	-153	Hack-n-Yack	http://www.mtbproject.com//trail/7001910/hack-n-yack
32.917586	-85.181884	4.0	blueBlack	0.6	699	642	62	-20	The Island	http://www.mtbproject.com//trail/7001909/the-island
32.917609	-85.181866	4.0	blue	4.2	698	623	198	-201	Turkey Run	http://www.mtbproject.com//trail/7001908/turkey-run
32.916877	-85.165131	4.0	greenBlue	1.7	660	638	29	-33	Lakeside Trail	http://www.mtbproject.com//trail/7001907/lakeside-trail
33.19919	-86.18329	4.0	greenBlue	1.0	686	638	71	-68	COGS Loop	http://www.mtbproject.com//trail/6445642/cogs-loop
33.19592	-86.181449	4.0	greenBlue	3.6	700	621	310	-318	Bill's Creek Loop	http://www.mtbproject.com//trail/6445516/bills-creek-loop
33.195296	-86.192058	4.0	greenBlue	1.0	623	588	82	-80	Ridge Loop	http://www.mtbproject.com//trail/6403039/ridge-loop
33.629218	-85.873982	4.0	greenBlue	0.7	1529	1406	10	-125	Trillium	http://www.mtbproject.com//trail/4954883/trillium
33.624019	-85.885858	4.0	blue	0.9	1627	1417	212	-11	Talladega	http://www.mtbproject.com//trail/4954829/talladega
33.25681	-87.060307	3.7	greenBlue	3.2	640	454	334	-270	Iron Works Loop	http://www.mtbproject.com//trail/4556859/iron-works-loop
